Time (s),Raw,Delta,Theta,Alpha,Beta,Gamma
145.08076310157776,-54.96,26.51,44.68,22.1,3.63,1.3
145.52562260627747,135.68,23.33,40.72,20.35,7.11,4.64
146.07481241226196,373.02,21.12,30.74,16.36,14.44,7.93
146.51492738723755,-1142.48,10.45,25.13,25.93,23.39,4.68
147.06712889671326,1519.98,13.88,31.86,33.74,13.93,2.38
147.60217833518982,5343.01,20.03,49.43,24.97,3.68,0.71
148.05982065200806,6101.78,29.72,39.84,22.04,5.19,1.15
148.61334538459778,210.3,29.18,39.2,21.69,5.79,1.5
149.05615329742432,-650.02,26.66,36.03,20.33,10.14,2.96
149.610506772995,2734.81,47.24,21.28,11.34,10.32,8.6
150.03782296180725,8784.83,28.55,40.01,18.18,7.78,4.52
150.5897834300995,2756.35,29.22,38.17,18.18,8.54,4.52
151.0457661151886,156.5,28.55,37.51,18.53,8.74,5.03
151.59680151939392,655.54,27.14,34.18,19.49,10.27,6.46
152.023432970047,-290.45,22.57,32.42,20.94,11.81,8.94
